name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
kinst;"Killer Instinct";"1994";"Rare (Midway license)";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;YES;rare/kinst.cpp;"Mame 0.63";"2003-01-12";"Mame 0.256";"2023-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;58.981183;"joystick (8-way)";"CRT 15kHz";"MIPS R4600 (little),Analog Devices ADSP-2105";"maincpu MIPS R4600 (little) @100 MHz, dcs:dcs Analog Devices ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;YES;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=4XYPG3N-DuA";-;90;NO;NO;NO;NO;English;"80 to 90 (Very Good)";-;-;NO;"Killer Instinct";
kinstp;"Killer Instinct (proto v4.7)";"1994";Rare;NO;kinst;YES;kinst;-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.87u3";"2004-10-12";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct";
kinstb;"Killer Instinct (SNES bootleg)";"199?";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;nintendo/snesb.cpp;"Mame 0.108u5";"2006-09-21";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;512;225;60.098476;"joystick (8-way)";"CRT 15kHz";"Ricoh 5A22,Nintendo/Sony S-SMP";"maincpu Ricoh 5A22 @21.48 MHz, soundcpu Nintendo/Sony S-SMP @2.48 MHz";"Speaker,Nintendo/Sony S-DSP";"lspeaker Speaker, rspeaker Speaker, s_dsp Nintendo/Sony S-DSP @2.48 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=ET7jW9j-5_o";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Killer Instinct";
"kinst13";"Killer Instinct (v1.3)";"1994";Rare;NO;kinst;YES;kinst;-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.81u4";"2004-04-08";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct";
"kinst14";"Killer Instinct (v1.4)";"1994";Rare;NO;kinst;YES;kinst;-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.81u4";"2004-04-08";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct";
"kinst2";"Killer Instinct 2";"1996";"Rare (Midway license)";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;YES;rare/kinst.cpp;"Mame 0.63";"2003-01-12";"Mame 0.256";"2023-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;58.981183;"joystick (8-way)";"CRT 15kHz";"MIPS R4600 (little),Analog Devices ADSP-2105";"maincpu MIPS R4600 (little) @100 MHz, dcs:dcs Analog Devices ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;YES;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=n6v_lY2BtWo";-;80;NO;NO;NO;NO;English;"80 to 90 (Very Good)";"1995";-;NO;"Killer Instinct 2";
"kinst2uk";"Killer Instinct 2 (upgrade kit)";"1996";"Rare (Midway license)";NO;"kinst2";YES;"kinst2";-;YES;NO;NO;-;NO;YES;YES;YES;rare/kinst.cpp;"Mame 0.188";"2017-07-26";"Mame 0.256";"2023-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;58.981183;"joystick (8-way)";"CRT 15kHz";"MIPS R4600 (little),Analog Devices ADSP-2105";"maincpu MIPS R4600 (little) @100 MHz, dcs:dcs Analog Devices ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;YES;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct 2";
"kinst210";"Killer Instinct 2 (v1.0)";"1995";Rare;NO;"kinst2";YES;"kinst2";-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.87u3";"2004-10-12";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct 2";
"kinst211";"Killer Instinct 2 (v1.1)";"1995";Rare;NO;"kinst2";YES;"kinst2";-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.81u4";"2004-04-08";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct 2";
"kinst213";"Killer Instinct 2 (v1.3)";"1995";Rare;NO;"kinst2";YES;"kinst2";-;YES;NO;NO;-;NO;YES;YES;YES;kinst.cpp;"Mame 0.81u4";"2004-04-08";"Mame 0.187";"2017-06-28";2;6;4;1;1;RASTER;"0";HORIZONTAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"R4600 (little),ADSP-2105";"maincpu R4600 (little) @100 MHz, dcs:dcs ADSP-2105 @10 MHz";"Speaker,DMA-driven DAC";"dcs:mono Speaker, dcs:dac DMA-driven DAC";GOOD;GOOD;GOOD;GOOD;GOOD;UNKNOWN;GOOD;GOOD;harddisk;"Fighter / Versus";Fighter;"Killer Instinct";English;-;YES;YES;YES;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Killer Instinct 2";
