name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
sqbert;"Faster, Harder, More Challenging Q*bert (prototype)";"1983";Mylstar;YES;-;NO;-;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.33b2";"1998-05-08";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_sqbert;"https://www.youtube.com/watch?v=RBm8keyDEcI";-;0;NO;NO;NO;NO;English;"90 to 100 (Best Games)";-;"29043;29031";YES;"Faster, Harder, More Challenging Q*bert";
myqbert;"Mello Yello Q*bert";"1982";Gottlieb;NO;qbert;YES;qbert;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.68";"2003-05-15";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_myqbert;-;-;0;NO;NO;NO;NO;English;-;-;"29043;29031";YES;"Mello Yello Q*bert";
qbert;"Q*bert (US set 1)";"1982";Gottlieb;YES;-;NO;-;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.17";"1997-04-14";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_qbert;"https://www.youtube.com/watch?v=9ZvkWJ82dr8";-;0;NO;NO;NO;NO;English;"90 to 100 (Best Games)";"1982";"29043;29031";YES;Q*bert;
qberttst;"Q*bert (early test version)";"1982";Gottlieb;NO;qbert;YES;qbert;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.76";"2003-10-19";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;"29043;29031";YES;Q*bert;
qbertj;"Q*bert (Japan)";"1982";"Gottlieb (Konami license)";NO;qbert;YES;qbert;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.133u1";"2009-08-02";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;Japanese;-;-;"29043;29031";YES;Q*bert;
pbqbert;"Q*Bert (Parker Brothers)";"1983";"Parker Brothers";YES;-;NO;-;-;YES;NO;NO;-;NO;NO;NO;YES;"handheld/hh_hmcs40.cpp";"Mess 0.160";"2015-03-25";"Mame 0.256";"2023-06-28";1;0;0;1;1;SVG;"0";HORIZONTAL;603;1080;60.000000;"joystick (8-way)";"CRT 31kHz";"Hitachi HD38820";"maincpu Hitachi HD38820 @0.4 MHz";"Speaker,Filtered DAC";"mono Speaker, speaker Filtered DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Handheld / Electronic Game";Handheld;Q*Bert;Q*Bert;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;Non-arcade;-;-;-;0;NO;NO;NO;NO;Q*Bert;-;-;-;NO;Q*Bert;
qberta;"Q*bert (US set 2)";"1982";Gottlieb;NO;qbert;YES;qbert;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.78u1";"2004-01-04";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;"29043;29031";YES;Q*bert;
qbtrktst;"Q*bert Board Input Test Rom";"1982";Gottlieb;NO;qbert;YES;qbert;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.82u3";"2004-05-27";"Mame 0.256";"2023-06-28";2;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Utilities / Test";Utilities;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;English;-;-;"29043;29031";YES;"Q*bert Board Input Test Rom";
qbertqub;"Q*bert's Qubes";"1983";Mylstar;YES;-;NO;-;qbert;YES;NO;NO;-;NO;YES;NO;YES;gottlieb/gottlieb.cpp;"Mame 0.24";"1997-06-13";"Mame 0.256";"2023-06-28";1;0;2;2;1;RASTER;"270";VERTICAL;256;240;61.419025;"joystick (8-way)";"CRT 15kHz";"Intel 8088,MOS Technology 6502";"maincpu Intel 8088 @5 MHz, r1sound:audiocpu MOS Technology 6502 @0.894886 MHz";"Speaker,Gottlieb Sound rev. 1 with Votrax,MC1408 DAC,Votrax SC-01-A,Samples";"speaker Speaker, r1sound Gottlieb Sound rev. 1 with Votrax, r1sound:dac MC1408 DAC, r1sound:votrax Votrax SC-01-A @0.72 MHz, knocker Speaker, knocker_sam Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;GOOD;-;"Platform / Run Jump";Platform;Q*Bert;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";https://archive.org/details/arcade_qbertqub;"https://www.youtube.com/watch?v=Pwr99PGyxV0";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Q*bert's Qubes";
inferno;"Inferno (Williams)";"1984";Williams;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;midway/williams.cpp;"Mame 0.35b6";"1999-03-15";"Mame 0.256";"2023-06-28";2;1;3;1;1;RASTER;"0";HORIZONTAL;276;240;60.096154;"double joystick (8-way)";"CRT 15kHz";"Motorola MC6809E,Motorola MC6808";"maincpu Motorola MC6809E @1 MHz, soundcpu Motorola MC6808 @4 MHz";"Speaker,MC1408 DAC";"speaker Speaker, dac MC1408 DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Maze / Shooter Small";Maze;-;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;YES;NO;NO;YES;"2P sim";https://archive.org/details/arcade_inferno;"https://www.youtube.com/watch?v=cnDTkLETMBA";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1984";-;NO;Inferno;
