name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"cps3bootao";"CPS3 Multi-game bootleg for dead security cart (older)";"1999";bootleg;NO;"cps3boot";YES;"cps3boot";-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.169";"2015-12-30";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"Fighter / Compilation";Fighter;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"CPS3 Multi-game bootleg for dead security cart";
"cps3boot";"CPS3 Multi-game bootleg for HD6417095 type SH2 (V4)";"1999";bootleg;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.151";"2013-11-05";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"MultiGame / Compilation";MultiGame;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=WE-lCpXSDK0";-;0;NO;NO;NO;NO;English;"80 to 90 (Very Good)";-;-;NO;"CPS3 Multi-game bootleg for HD6417095 type SH2";
"cps3bootao2";"CPS3 Multi-game bootleg for dead security cart (oldest) (New Generation, 2nd Impact and 3rd Strike only)";"1999";bootleg;NO;"cps3boot";YES;"cps3boot";-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.169";"2015-12-30";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"Fighter / Compilation";Fighter;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"CPS3 Multi-game bootleg for dead security cart";
"cps3boota";"CPS3 Multi-game bootleg for dead security cart (V5)";"1999";bootleg;NO;"cps3boot";YES;"cps3boot";-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.151";"2013-11-05";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"Fighter / Compilation";Fighter;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"CPS3 Multi-game bootleg for dead security cart";
"cps3booto";"CPS3 Multi-game bootleg for HD6417095 type SH2 (older)";"1999";bootleg;NO;"cps3boot";YES;"cps3boot";-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.154";"2014-07-23";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"MultiGame / Compilation";MultiGame;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"CPS3 Multi-game bootleg for HD6417095 type SH2";
"cps3booto2";"CPS3 Multi-game bootleg for HD6417095 type SH2 (oldest) (New Generation, 3rd Strike, JoJo's Venture, JoJo's Bizarre Adventure and Red Earth only)";"1999";bootleg;NO;"cps3boot";YES;"cps3boot";-;YES;NO;NO;-;NO;YES;YES;YES;"capcom/cps3.cpp";"Mame 0.169";"2015-12-30";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.599491;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @25 MHz";"CD/DA,Speaker,CPS3 Custom Sound";"scsi:1:cdrom:cdda CD/DA @0.441 MHz, lspeaker Speaker, rspeaker Speaker, cps3sound CPS3 Custom Sound @14.318181 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;cdrom;"Fighter / Compilation";Fighter;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"CPS3 Multi-game bootleg for HD6417095 type SH2";
dstlka;"Darkstalkers: The Night Warriors (Asia 940705)";"1994";Capcom;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.57";"2002-01-01";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Darkstalkers;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Darkstalkers: The Night Warriors";
dstlk;"Darkstalkers: The Night Warriors (Euro 940705)";"1994";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.37b12 (0.48)";"2001-02-15";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Darkstalkers;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=x2oDdQlNXTc";-;80;NO;NO;NO;NO;English;"80 to 90 (Very Good)";-;-;NO;"Darkstalkers: The Night Warriors";
dstlkh;"Darkstalkers: The Night Warriors (Hispanic 940818)";"1994";Capcom;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.135";"2009-10-31";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Darkstalkers;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Darkstalkers: The Night Warriors";
"dstlku1d";"Darkstalkers: The Night Warriors (USA 940705 Phoenix Edition) (bootleg)";"1994";bootleg;NO;dstlk;YES;dstlk;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps2.cpp";"Mame 0.128u4";"2008-11-23";"Mame 0.256";"2023-06-28";2;6;2;2;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @16 MHz, audiocpu Zilog Z80 @8 MHz";"Speaker,QSound (HLE)";"lspeaker Speaker, rspeaker Speaker, qsound QSound (HLE) @60 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;Darkstalkers;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Darkstalkers: The Night Warriors";
