name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"agentx1";"Agent X (prototype, rev 1)";"1983";Atari;NO;cloak;YES;cloak;-;YES;NO;NO;-;NO;YES;NO;YES;atari/cloak.cpp;"Mame 0.107";"2006-07-23";"Mame 0.256";"2023-06-28";1;1;2;1;1;RASTER;"0";HORIZONTAL;256;232;60.000000;"double joystick (8-way)";"CRT 15kHz";"MOS Technology 6502,Atari C012294 POKEY";"maincpu MOS Technology 6502 @1 MHz, slave MOS Technology 6502 @1.25 MHz, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";"Speaker,Atari C012294 POKEY";"mono Speaker, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Agent X";
"agentx2";"Agent X (prototype, rev 2)";"1983";Atari;NO;cloak;YES;cloak;-;YES;NO;NO;-;NO;YES;NO;YES;atari/cloak.cpp;"Mame 0.107";"2006-07-23";"Mame 0.256";"2023-06-28";1;1;2;1;1;RASTER;"0";HORIZONTAL;256;232;60.000000;"double joystick (8-way)";"CRT 15kHz";"MOS Technology 6502,Atari C012294 POKEY";"maincpu MOS Technology 6502 @1 MHz, slave MOS Technology 6502 @1.25 MHz, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";"Speaker,Atari C012294 POKEY";"mono Speaker, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Agent X";
"agentx3";"Agent X (prototype, rev 3)";"1983";Atari;NO;cloak;YES;cloak;-;YES;NO;NO;-;NO;YES;NO;YES;atari/cloak.cpp;"Mame 0.107";"2006-07-23";"Mame 0.256";"2023-06-28";1;1;2;1;1;RASTER;"0";HORIZONTAL;256;232;60.000000;"double joystick (8-way)";"CRT 15kHz";"MOS Technology 6502,Atari C012294 POKEY";"maincpu MOS Technology 6502 @1 MHz, slave MOS Technology 6502 @1.25 MHz, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";"Speaker,Atari C012294 POKEY";"mono Speaker, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Agent X";
"agentx4";"Agent X (prototype, rev 4)";"1983";Atari;NO;cloak;YES;cloak;-;YES;NO;NO;-;NO;YES;NO;YES;atari/cloak.cpp;"Mame 0.107";"2006-07-23";"Mame 0.256";"2023-06-28";1;1;2;1;1;RASTER;"0";HORIZONTAL;256;232;60.000000;"double joystick (8-way)";"CRT 15kHz";"MOS Technology 6502,Atari C012294 POKEY";"maincpu MOS Technology 6502 @1 MHz, slave MOS Technology 6502 @1.25 MHz, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";"Speaker,Atari C012294 POKEY";"mono Speaker, pokey1 Atari C012294 POKEY @1.25 MHz, pokey2 Atari C012294 POKEY @1.25 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Field";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Agent X";
airrace;"Air Race (prototype)";"1985";"Atari Games";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"atari/atarisy4.cpp";"Mame 0.139u1";"2010-08-11";"Mame 0.256";"2023-06-28";1;6;0;0;1;RASTER;"0";HORIZONTAL;512;384;60.006001;"double joystick (8-way),joystick (analog)";"CRT 25kHz";"Motorola MC68000,Texas Instruments TMS32010";"maincpu Motorola MC68000 @8 MHz, dsp0 Texas Instruments TMS32010 @16 MHz, dsp1 Texas Instruments TMS32010 @16 MHz";-;-;IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;NODUMP;-;"Driving / Plane";Driving;-;English;-;YES;YES;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;NO;NO;NO;NO;English;"20 to 30 (Bad)";-;-;NO;"Air Race";
aponow;"Apocaljpse Now (bootleg of Rescue)";"1982";bootleg;NO;rescue;YES;rescue;-;YES;NO;NO;-;NO;YES;NO;YES;galaxian/scobra.cpp;"Mame 0.74";"2003-09-14";"Mame 0.256";"2023-06-28";1;1;2;1;1;RASTER;"90";VERTICAL;256;224;60.606061;"double joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @3.72 MHz, audiocpu Zilog Z80 @1.78975 MHz";"Speaker,AY-3-8910A PSG";"mono Speaker, ay1 AY-3-8910A PSG @1.78975 MHz, ay2 AY-3-8910A PSG @1.78975 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Apocaljpse Now";
asoccer;"American Soccer";"1987";Universal;NO;idsoccer;YES;idsoccer;-;YES;NO;NO;-;NO;YES;NO;YES;universal/docastle.cpp;"Mame 0.138u3";"2010-07-06";"Mame 0.256";"2023-06-28";2;2;2;1;1;RASTER;"0";HORIZONTAL;240;192;59.659091;"double joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @4 MHz, slave Zilog Z80 @4 MHz, cpu3 Zilog Z80 @4 MHz";"Speaker,SN76489A,OKI MSM5205 ADPCM";"mono Speaker, sn1 SN76489A @4 MHz, sn2 SN76489A @4 MHz, sn3 SN76489A @4 MHz, sn4 SN76489A @4 MHz, msm OKI MSM5205 ADPCM @0.384 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;GOOD;PRELIMINARY;GOOD;GOOD;-;"Sports / Soccer";Sports;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"American Soccer";
assault;"Assault (Rev B)";"1988";Namco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"namco/namcos2.cpp";"Mame 0.36b8";"1999-10-30";"Mame 0.256";"2023-06-28";2;1;2;2;1;RASTER;"90";VERTICAL;288;224;60.606061;"double joystick (4-way)";"CRT 15kHz";"Motorola MC68000,Motorola MC6809E,Hitachi HD63705";"maincpu Motorola MC68000 @12.288 MHz, slave Motorola MC68000 @12.288 MHz, audiocpu Motorola MC6809E @2.48 MHz, c65mcu:mcu Hitachi HD63705 @2.48 MHz";"Speaker,Namco C140,YM2151 OPM";"lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.21333 MHz, ymsnd YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Driving";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";https://archive.org/details/arcade_assault;"https://www.youtube.com/watch?v=F4v89jiPU3s";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";"1988";-;NO;Assault;
assaultj;"Assault (Japan)";"1988";Namco;NO;assault;YES;assault;-;YES;NO;NO;-;NO;YES;NO;YES;"namco/namcos2.cpp";"Mame 0.36b8";"1999-10-30";"Mame 0.256";"2023-06-28";2;1;2;2;1;RASTER;"90";VERTICAL;288;224;60.606061;"double joystick (4-way)";"CRT 15kHz";"Motorola MC68000,Motorola MC6809E,Hitachi HD63705";"maincpu Motorola MC68000 @12.288 MHz, slave Motorola MC68000 @12.288 MHz, audiocpu Motorola MC6809E @2.48 MHz, c65mcu:mcu Hitachi HD63705 @2.48 MHz";"Speaker,Namco C140,YM2151 OPM";"lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.21333 MHz, ymsnd YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Driving";Shooter;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=_y4AMRmtQXw";-;0;NO;NO;NO;YES;Japanese;-;-;-;NO;Assault;
assaultp;"Assault Plus (Japan)";"1988";Namco;NO;assault;YES;assault;-;YES;NO;NO;-;NO;YES;NO;YES;"namco/namcos2.cpp";"Mame 0.36b8";"1999-10-30";"Mame 0.256";"2023-06-28";2;1;2;2;1;RASTER;"90";VERTICAL;288;224;60.606061;"double joystick (4-way)";"CRT 15kHz";"Motorola MC68000,Motorola MC6809E,Hitachi HD63705";"maincpu Motorola MC68000 @12.288 MHz, slave Motorola MC68000 @12.288 MHz, audiocpu Motorola MC6809E @2.48 MHz, c65mcu:mcu Hitachi HD63705 @2.48 MHz";"Speaker,Namco C140,YM2151 OPM";"lspeaker Speaker, rspeaker Speaker, c140 Namco C140 @0.21333 MHz, ymsnd YM2151 OPM @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Driving";Shooter;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=FpsM9u03eOg";-;0;NO;NO;NO;YES;Japanese;-;-;-;NO;"Assault Plus";
